Name,Qualification,Experience,Languages,Expertise,Department,Designation,Description,Consultation Fee,Hospital Address,Hospital Phone,Not_Available_Days,Timings,Speciality Group
. PEER MOHAMED THASLIM ARIF,"Md Physician (Uzhhorod National University, 2019)",6,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,". PEER MOHAMED THASLIM ARIF is a expert General Physician have qualification of Md Physician (Uzhhorod National University, 2019) currently working in Al Arif Hospital.",250,"Al Arif Hospital , ambalathara, thiruvananthapuram, kerala 695026, india, TVM Fort, Thiruvananthapuram, None",-7107409693,All Days,09:00 - 17:00,General Medicine
Dr. A Chakravarthy,"MBBS (Rajah muthiah medical college, 1999), MD - Community Medicine (University of Kerala, Thiruvananthapuram, Kerala., 2021)",26,"English, Hindi & Malayalam",Not Available,Sexologist,Not Available,"Dr A Chakravarthy is a world famous qualified (master of health science in reproductive & Sexual Medicine) Sexual Medicine 
consultant from modern medicine / Allopathy in south India. He is a certified Sexologist by American College of Sexologists International, he is the founder president of International Association of Sexual Medicine, he is the expert of  Sexual Health in the panel of many International Health Care Organizations like healthcaremagic, medindia, Adviceadda, Oowomaniya, Cupidcare etc, he is the expert writer in times of India, healthmeup, future medicine , IMA Nammude Arogyam (official publication of Indian Medical Association) and lot of other media. He provide frequent health awareness talks through audio visual media.",1000,"Dr Chakravarthy's Wellness Clinic , GSSNRA 105, NCC Road, Ambalamukku, Thiruvananthapuram, 695005",-9075707104,"Tuesday, Thursday, Saturday",11:30 - 20:30,Sexology & Fertility
Dr. A Johnson Varghese,"BDS (University of Gauhati, 1987), MDS - Oral Surgery (Lucknow University, 1992)",38,"English, Hindi & Malayalam",Not Available,Dentist,Not Available,"Dr. A. Johnson Varghese is a highly experienced dental specialist with over 32 years of expertise in General Dentistry and Oral & Maxillofacial Surgery. He has served in both the Ministry of Health and private sector establishments in Muscat, Sultanate of Oman. Throughout his career, he has provided comprehensive dental care to a diverse, multinational clientele, offering a wide range of advanced treatment solutions with precision and compassion.",500,"Johnson Speciality Dental Centre , Pananvilla, Paruthippara, Paruthippara, Thiruvananthapuram, 695025",-8739260656,Sunday,13:45 - 16:45,Dentistry
Dr. A S Lila,"BAMS (University Of calicut, 1982), MD - Ayurveda Medicine (University of kerala, 1996)",43,"English, Hindi & Malayalam",Not Available,Ayurveda,Not Available,"Dr. A S Lila is a expert Ayurveda have qualification of BAMS (University Of calicut, 1982), MD - Ayurveda Medicine (University of kerala, 1996) currently working in Aswini Ayurvedics.",400,"Aswini Ayurvedics , Vaidyaratnam Oushadhasala,Opposite to Kesavadasapuram-Nalanchira Bus Stop,Kesavadasapuram, Pattom, Thiruvananthapuram, 695004",-9381270446,All Days,09:00 - 20:00,Ayush
Dr. A.M.Mathew,"MBBS (Kasturba medical college, Mangalore, Manipal University, Karnataka, 1968), MD - General Medicine (Jawaharlal Institute of Postgraduate Medical Education and Research (JIPMER), Puducherry, 1971)",57,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. A.M.Mathew is a expert General Physician have qualification of MBBS (Kasturba medical college, Mangalore, Manipal University, Karnataka, 1968), MD - General Medicine (Jawaharlal Institute of Postgraduate Medical Education and Research (JIPMER), Puducherry, 1971) currently working in Dr. Mathews Clinic.",200,"Dr. Mathews Clinic , Adimathra, Paruthipara, Pattom P.O, Paruthippara, Thiruvananthapuram, 695011",-9538536486,Sunday,09:00 - 19:00,General Medicine
Dr. A.N. Ashley Jabiin,"MBBS (Kerala University, 2016)",9,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. A.N. Ashley Jabiin is a expert General Physician have qualification of MBBS (Kerala University, 2016) currently working in Neyyar Medicity.",250,"Neyyar Medicity , Punnavoor, Kattakada, Thiruvananthapuram, 695572",-8834036901,"Monday, Tuesday, Wednesday, Thursday, Friday, Sunday",20:00 - 21:00,General Medicine
Dr. ANJU R S,"MBBS (Tamilnadu Dr Mgr University, 2019)",6,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. ANJU R S is a expert General Physician have qualification of MBBS (Tamilnadu Dr Mgr University, 2019) currently working in DPMS Hospital.",250,"DPMS Hospital , hx6j+jq3, karakulam, thiruvananthapuram, kerala 695043, india, Cherunniyur, Thiruvananthapuram, None",-9521675222,All Days,09:00 - 17:00,General Medicine
Dr. ANJU S S,"MBBS (Kerala University, 2004)",21,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. ANJU S S is a expert General Physician have qualification of MBBS (Kerala University, 2004) currently working in DPMS Hospital.",250,"DPMS Hospital , hx6j+jq3, karakulam, thiruvananthapuram, kerala 695043, india, Cherunniyur, Thiruvananthapuram, None",-9455375344,All Days,09:00 - 17:00,General Medicine
Dr. ANOOP P,"MBBS (Kerala University, 2004)",21,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. ANOOP P is a expert General Physician have qualification of MBBS (Kerala University, 2004) currently working in Dr. Anoop.V.P.",250,"Dr. Anoop.V.P , TC 26/1850, GPO Lane, Statue Road, Landmark: Government Secretariat., Palayam, Thiruvananthapuram, None",-9846552406,Sunday,16:00 - 19:00,General Medicine
Dr. ARUN S. RAJAN,"MBBS (Kerala University, 2003)",22,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. ARUN S. RAJAN is a expert General Physician have qualification of MBBS (Kerala University, 2003) currently working in Sri Paadam Eye Care & Laser Centre.",250,"Sri Paadam Eye Care & Laser Centre , Kivi Medical Centre, Kivi Towers, Tutor's Lane, Statue, Palayam, Thiruvananthapuram, 695001",-8620541608,Sunday,09:00 - 18:00,General Medicine
